x,y,n,pearson_r,note
do_mg_l,count_dinophysis,1564,-0.09236809851223003,
do_mg_l,count_pseudo_nitzschia,1564,-0.04644686936791779,
do_mg_l,count_karenia_mikimotoi,1564,-0.050246483347571556,
do_mg_l,y_dinophysis,1564,-0.04075096816495626,
do_mg_l,y_dinophysis_nowcast,1564,-0.0254579847453677,
nitrate_umol_l,count_dinophysis,1476,-0.10400360700943316,
nitrate_umol_l,count_pseudo_nitzschia,1476,-0.09274538125334343,
nitrate_umol_l,count_karenia_mikimotoi,1476,-0.02092167140896403,
nitrate_umol_l,y_dinophysis,1476,-0.06090421166493753,
nitrate_umol_l,y_dinophysis_nowcast,1476,-0.10163907900091244,
temp_c,count_dinophysis,1672,0.13705327621441069,
temp_c,count_pseudo_nitzschia,1672,0.09748762447580488,
temp_c,count_karenia_mikimotoi,1672,0.0438382594259619,
temp_c,y_dinophysis,1672,0.09859480136309999,
temp_c,y_dinophysis_nowcast,1672,0.12562651019256665,
salinity,count_dinophysis,1656,-0.018890730714972687,
salinity,count_pseudo_nitzschia,1656,0.03494931558245999,
salinity,count_karenia_mikimotoi,1656,0.009868050517881309,
salinity,y_dinophysis,1656,-0.09274038545330741,
salinity,y_dinophysis_nowcast,1656,-0.1439855598893135,
