x,y,n,pearson_r,note
do_mg_l,count_dinophysis,703,-0.1285576257636141,
do_mg_l,count_pseudo_nitzschia,703,-0.0049107287766714,
do_mg_l,count_karenia_mikimotoi,703,0.03258765552399238,
do_mg_l,y_dinophysis,703,-0.05616166823963787,
do_mg_l,y_dinophysis_nowcast,703,-0.002355564758052402,
chl_ug_l,count_dinophysis,603,0.04889982648806073,
chl_ug_l,count_pseudo_nitzschia,603,0.003381660328214944,
chl_ug_l,count_karenia_mikimotoi,603,-0.02953353787107534,
chl_ug_l,y_dinophysis,603,0.025441673722738294,
chl_ug_l,y_dinophysis_nowcast,603,0.016190336882341443,
phycoerythrin,count_dinophysis,603,0.029484365628204022,
phycoerythrin,count_pseudo_nitzschia,603,-0.019566438952293277,
phycoerythrin,count_karenia_mikimotoi,603,-0.03202568432522831,
phycoerythrin,y_dinophysis,603,0.017034467724758428,
phycoerythrin,y_dinophysis_nowcast,603,-0.0009252381534232835,
temp_c,count_dinophysis,703,0.21963512922832792,
temp_c,count_pseudo_nitzschia,703,0.15662120001860946,
temp_c,count_karenia_mikimotoi,703,-0.01569759725266472,
temp_c,y_dinophysis,703,0.08026951711660912,
temp_c,y_dinophysis_nowcast,703,0.14039853649597878,
turbidity_ntu,count_dinophysis,603,0.10163545628389213,
turbidity_ntu,count_pseudo_nitzschia,603,-0.0003097986711211143,
turbidity_ntu,count_karenia_mikimotoi,603,-0.01685743834935421,
turbidity_ntu,y_dinophysis,603,0.13185906755094634,
turbidity_ntu,y_dinophysis_nowcast,603,0.11885226920101472,
